id,words,tags,polarity
93,alangan,RB,-1
94,alangkaw,JJ,0
95,alasais,JJ,0
96,aldaw,NN,0
97,aldow,NN,0
98,alduw,NN,0
99,alerto,VB,1
100,alertu,VB,1
101,alibangbang,NN,0
102,alimantak,NN,0
103,alinan,VB,0
104,aling,VB,1
105,alinon,VB,0
106,alinun,VB,0
107,alisto,VB,1
108,alkansya,NN,1
109,alnas,JJ,0
110,alo,VB,-1
111,alon,NN,0
112,alop,JJ,-1
113,alpabeto,NN,0
114,alsa,VB,1
115,alsawun,VB,1
116,alsum,JJ,0
117,aluk,VB,0
118,alukot,JJ,0
119,alukot,JJ,-1
120,alukut,JJ,0
121,alukutun,VB,0
122,alup,JJ,-1
123,alwag,JJ,0
124,amag,NN,-1
125,amay,JJ,1
126,ambog,JJ,-1
127,ambug,JJ,-1
128,amerikano,NNPS,0
129,amiga,JJ,0
130,amigo,JJ,0
131,amot,JJ,1
132,amut,JJ,1
133,anadan,VB,0
134,anap,VB,0
135,anapan,VB,0
136,anapbuway,VB,1
137,anapon,VB,0
138,anapun,VB,0
139,anaran,VB,0
140,andal,JJ,-1
141,andar,VB,0
142,anga,JJ,0
143,angat,VB,1
144,anggan,CC,0
145,anggang,CC,0
146,anggot,RB,-1
147,anghel,JJ,1
148,angin,NN,0
149,angin,NN,0
150,angin,JJ,0
151,angog,NN,0
152,angog,NN,0
153,anibersaryo,NN,1
154,anino,NN,0
155,aninu,NN,0
156,anoy,NN,0
157,antak,NN,0
158,antas,NN,0
159,antik,NN,0
160,antina,NN,0
161,antol,NN,0
162,anyo,JJ,0
163,anyong,JJ,0
164,anyos,JJ,0
165,apa,NN,0
166,apag,VB,1
167,apagsabi,VB,0
168,aparadur,NN,0
169,aparato,NN,0
170,apektado,JJ,-1
171,apekto,VB,0
172,apektowan,VB,-1
173,apelyido,NN,0
174,apin,NN,0
175,apir,VB,0
176,aplayan,VB,1
177,aplikasyon,NN,0
178,apog,NN,0
179,apon,VB,0
180,apresyar,VB,0
181,apros,NN,-1
182,aprosan,VB,-1
183,apug,NN,0
184,apulas,VB,0
185,apun,VB,0
186,apun,NN,0
187,apunan,VB,-1
188,aradu,VB,1
189,arani,JJ,0
190,arani,JJ,0
191,araning,JJ,-1
192,arap,JJ,0
193,araraning,VBG,-1
194,ararom,JJ,-1
195,ararom,JJ,-1
196,ararum,JJ,0
197,aray,VB,-1
198,arayo,JJ,-1
199,arayo,JJ,-1
200,arayong,JJ,-1
201,arayu,JJ,-1
202,arayung,JJ,-1
203,ari,WRB,0
204,arigi,NN,0
205,arina,NN,0
206,aring,WRB,-1
207,aroalduw,NN,1
208,arog,RB,0
209,artikulo,NN,0
210,artipisyal,NN,0
211,artista,NN,0
212,arug,RB,0
213,arugan,VB,0
214,arugon,VB,-1
215,arugun,VB,-1
216,aruk,VB,0
217,asa,VB,-1
218,asahan,VB,0
219,asignatura,NN,0
220,asikaso,VB,1
221,asikasu,VB,1
222,asin,CC,0
223,aspekto,NN,0
224,aspektong,NN,0
225,asu,NN,0
226,asukar,NN,0
227,asul,JJ,0
228,atamanon,VB,1
229,atamanun,VB,1
230,atang,VB,0
231,atching,VB,0
232,atendir,VB,1
233,atendiran,VB,1
234,atensyon,VB,0
235,ati,JJ,-1
236,ati,JJ,0
237,atibagus,NN,0
238,atindir,VB,0
239,atop,NN,0
240,atras,VB,-1
241,atsing,VB,0
242,atubangan,NN,0
243,atud,VB,0
244,atup,NN,0
245,atupagun,VB,1
246,awak,NN,0
247,awak,NN,0
248,awan,VB,1
249,awan,VB,0
250,awanan,VB,1
251,awang,JJ,0
252,awla,NN,0
253,awto,NN,0
254,awtoridad,VB,0
255,awtu,NN,0
256,aya,VB,0
257,ayag,JJ,0
258,ayagan,JJ,1
259,ayam,NN,0
260,ayam,NN,0
261,ayat,VB,0
262,ayay,JJ,0
263,ayito,JJ,-1
264,ayon,VB,0
265,ayop,NN,0
266,aytem,NN,0
267,ayuda,NN,1
268,ayup,NN,0
269,baad,NN,-1
270,bababaoy,VB,0
271,babakalon,VB,1
272,babakalun,VB,1
273,babala,VB,0
274,babalunan,NN,1
275,babalyowan,VB,-1
276,babalyuwan,VB,-1
277,babantayan,VB,1
278,babasawan,VB,1
279,babasawon,VB,1
280,babasawun,VB,1
281,babasketball,VB,0
282,babatangan,VB,-1
283,babatluyan,VB,0
284,babawgan,VB,0
285,babayaan,VB,-1
286,babaydun,VB,1
287,babaye,NN,0
288,babayi,NN,0
289,babayi,NN,0
290,babaying,NN,0
291,babayli,VB,0
292,babayo,VB,0
293,babo,NN,0
294,bado,NN,0
295,badong,NN,0
296,badu,NN,0
297,baga,NN,0
298,baga,NN,-1
299,bagana,RB,-1
300,bagang,NN,0
301,bagay,NN,0
302,bagay,NN,0
303,bagaybo,NN,0
304,bagaybu,NN,0
305,bagong,JJ,0
306,bagot,NN,-1
307,bagting,VB,0
308,bahugun,VB,1
309,baitang,NN,0
310,bakalan,VB,1
311,baktin,NN,0
312,baktin,NN,0
313,bakunan,VB,1
314,bala,NN,0
315,balangaw,NN,0
316,balde,NN,0
317,baldeng,NN,0
318,baldi,VB,0
319,balikun,VB,1
320,balo,NN,-1
321,balon,NN,0
322,balos,VB,0
323,balot,NN,0
324,baloy,NN,0
325,baloy,NN,0
326,balunan,VB,0
327,balyo,VB,-1
328,balyong,VB,0
329,balyu,VB,-1
330,balyuwan,VB,-1
331,bandeitas,NN,0
332,bandera,NN,0
333,banderitas,NNS,0
334,bandihado,JJ,0
335,bandihadu,JJ,0
336,bandira,NN,0
337,bandol,VB,0
338,bangaan,VB,1
339,bangaun,VB,0
340,banggi,NN,0
341,banggiran,NN,0
342,banggiton,VB,0
343,bangka,NN,0
344,bangko,NN,0
345,banig,NN,0
346,bansa,NN,0
347,bansag,VB,0
348,bantog,JJ,0
349,banwa,JJ,0
350,banwaan,JJR,0
351,banyadira,NN,0
352,banyo,NN,0
353,baoo,NN,0
354,baoy,NN,0
355,baoyka,NN,0
356,barag,JJ,0
357,barakuda,NN,0
358,baranggay,NN,0
359,baras,NN,0
360,baratu,JJ,1
361,barela,NN,0
362,baresbisan,NN,0
363,bareta,NN,0
364,barita,NN,0
365,baritang,NN,0
366,barja,NNP,0
367,barkada,NN,0
368,barkadawun,VBP,1
369,barko,NN,0
370,barrameda,NNP,0
371,barreto,NN,0
372,barsa,NN,0
373,bart,NNP,0
374,barut,JJ,0
375,baryo,NN,0
376,baryu,NN,0
377,basa,VB,0
378,basang,VB,-1
379,basawon,VB,1
380,basbasan,VB,0
381,basi,NNP,0
382,basilio,NN,0
383,basketbol,VB,0
384,basketbolista,NN,0
385,baso,NN,0
386,basod,VB,0
387,basong,NN,-1
388,bastanti,JJ,1
389,basud,NN,0
390,basung,NN,-1
391,basura,NN,-1
392,basurahan,NN,1
393,basuran,VB,0
394,bata,PDT,0
395,batag,NN,0
396,batag,NN,0
397,batang,VB,0
398,batangan,NN,0
399,batay,VB,0
400,batayan,VB,0
401,batayang,VB,-1
402,bateriya,NN,0
403,bati,VB,1
404,batiun,VBZ,1
405,bato,NN,0
406,batuk,NN,0
407,bauya,VB,1
408,bauyon,VB,1
409,bawal,VB,-1
410,bawugun,VB,1
411,bayaan,VB,-1
412,bayabas,NN,0
413,bayad,NN,0
414,bayadon,VB,1
415,bayadun,VB,1
416,baybay,NN,0
417,baybayun,VBZ,0
418,bayda,VB,0
419,baydon,VB,1
420,baydun,VB,1
421,bayle,JJ,0
422,bayli,JJ,0
423,baynte,NN,0
424,bayong,NN,0
425,bayong,NN,0
426,bayung,NN,0
427,bendisyon,JJ,1
428,bendisyun,JJ,1
429,berde,NN,0
430,bertdey,NN,0
431,beses,JJ,0
432,beybi,NNPS,0
433,bffc,UH,0
434,bhem,NN,0
435,bhurncomq,UH,0
436,bibisaranan,VBZ,1
437,bibisaranon,VBZ,1
438,bibisaranun,VBZ,1
439,bibistuwun,VBP,1
440,bibo,JJ,0
441,bibong,NN,0
442,bibsaranan,VBZ,1
443,bida,NNPS,0
444,bidaw,NN,0
445,bigkas,JJ,0
446,bigla,VB,0
447,biglang,VB,0
448,bihira,JJ,-1
449,bihon,NN,0
450,bikol,NN,0
451,bikolana,NNPS,0
452,biktima,NNPS,-1
453,bikut,JJ,0
454,bilang,NN,0
455,bilangon,VB,1
456,bilangun,VB,1
457,bilib,VB,0
458,biliwan,VB,-1
459,bilog,JJ,0
460,bilogan,VBP,1
461,bilugan,VBP,1
462,bilugon,VB,1
463,bilugun,VB,1
464,bimbim,NN,0
465,binaba,VBD,0
466,binababayad,VB,1
467,binabagat,VB,-1
468,binabakal,VB,1
469,binabanggit,VB,1
470,binabantayan,VB,1
471,binabaoy,VB,1
472,binabasa,VB,1
473,binabasang,VB,-1
474,binabase,VB,0
475,binabati,VB,1
476,binabauy,VB,1
477,binabawug,VB,1
478,binabayu,VB,1
479,binabayubuan,VB,1
480,binadu,VBD,0
481,binagat,VBD,-1
482,binagsak,VBD,-1
483,binakal,VBD,1
484,binakalan,VBD,1
485,binakunahan,VBD,1
486,binanaoy,VBD,0
487,binanga,VBD,1
488,binanlawan,VBD,1
489,binansagan,JJ,-1
490,binaoy,VBD,1
491,binarita,VBD,0
492,binasa,VBD,1
493,binasang,VBD,-1
494,binatangan,VBD,0
495,binauy,VBD,1
496,binawog,VBD,1
497,binayaan,VBD,-1
498,binayad,VBD,1
499,bini,NN,0
500,binibilog,VBP,-1
501,binibilug,VBZ,-1
502,binilang,VBP,1
503,biniliwan,VBD,-1
504,binipisyo,NN,1
505,binisita,VB,1
506,binnakal,VBD,1
507,binni,NN,0
508,binoyoan,VBD,0
509,bintana,NN,0
510,binuay,VB,1
511,binubuan,VBD,-1
512,binububo,VB,1
513,binububu,VB,1
514,binububuan,VB,1
515,binubulung,VBP,1
516,binubunyagan,VB,1
517,binubuo,VB,0
518,binubutangan,VB,1
519,binuka,VB,0
520,binuksan,VB,0
521,binuligan,VB,1
522,binuo,VBD,1
523,binutangan,VBD,1
524,binutong,VBD,-1
525,binutung,VBD,0
526,binwit,NN,0
527,biribitbit,VB,1
528,birik,VB,0
529,birik,VB,0
530,birnes,NN,0
531,birtdey,NN,1
532,bisa,JJ,1
533,bisara,VB,0
534,bisaranan,VB,0
535,bise,NN,0
536,bisekleta,NN,0
537,bisikleta,NN,0
538,bisiklita,NN,0
539,bisita,NN,0
540,bisitawon,VB,1
541,bisitawun,VB,1
542,bistado,VBD,1
543,bistadu,JJ,1
544,bistida,NN,0
545,bisto,VBD,1
546,bisto,VB,1
547,bistu,JJ,1
548,bistuwon,VB,1
549,bistuwun,VBZ,1
550,biswal,NN,0
551,bitamina,NN,1
552,bitbit,VB,1
553,bitduk,NN,0
554,bitnga,VB,0
555,bitoon,NN,0
556,bituon,NN,0
557,bituun,NN,0
558,biyaya,NN,1
559,biyernes,NN,0
560,blangko,NN,-1
561,blangku,NN,-1
562,boday,NN,0
563,bogaybo,NN,0
564,boko,RB,-1
565,boksingero,NNPS,0
566,bolong,NN,0
567,boluntaryo,NN,1
568,booboo,NN,0
569,bool,NN,0
570,borirawan,NN,0
571,boros,NN,0
572,bosay,NN,0
573,boses,NN,0
574,bota,JJ,-1
575,botika,NN,0
576,boto,NN,0
577,boto,NN,0
578,brigada,NN,1
579,buaya,NN,0
580,bubon,NN,0
581,bubu,VB,1
582,bubuan,VBG,1
583,bubun,NN,0
584,bubuon,VBG,1
585,bubutangan,NN,1
586,bugas,NN,0
587,bugas,NN,0
588,bugaybo,NN,0
589,bugkos,NN,0
590,bugkus,NN,0
591,buhi,NNP,0
592,buhok,NN,0
593,buka,NN,0
594,bukal,NN,0
595,bukas,NN,0
596,bukawun,VBG,0
597,bukid,NN,0
598,buklatun,VBG,0
599,buklet,NN,0
600,buklitun,VBG,0
601,buksan,NN,1
602,buku,NN,-1
603,bula,NNP,0
604,bulacan,NNP,0
605,bulagting,JJ,0
606,bulalakaw,NN,0
607,bulalangaw,NN,1
608,bulalo,NN,1
609,bulan,NN,0
610,bulan,NN,0
611,bulang,VB,-1
612,bulawan,NN,1
613,bulig,NN,0
614,bulkan,NN,0
615,bulong,NN,-1
616,bulong,NN,0
617,bulsa,NN,0
618,bulung,NN,-1
619,bulungun,VBG,-1
620,bulus,NN,0
621,bumabalik,VBG,0
622,bumakal,VBG,0
623,bumakal,VB,1
624,bumalik,VBG,0
625,bumasa,VBG,1
626,bumbero,NN,0
627,bumirik,VBG,1
628,bunga,NN,1
629,bunga,NN,0
630,bungaw,NN,-1
631,bungog,NN,-1
632,bungog,JJ,-1
633,buno,NN,-1
634,buno,VB,0
635,bunot,NN,0
636,bunso,NN,0
637,buntol,JJ,-1
638,buntul,JJ,-1
639,buntut,NN,0
640,bunyag,NN,1
641,buok,NN,0
642,buot,NN,1
643,bura,VB,-1
644,buradol,NN,0
645,buradul,NN,0
646,burak,NN,1
647,burak,NN,1
648,burat,NN,-1
649,buring,NN,0
650,burobuskay,NN,0
651,buros,NN,0
652,burubisara,NN,0
653,burus,NN,0
654,busina,NN,0
655,busog,NN,1
656,busog,JJ,1
657,busug,JJ,1
658,buta,NN,-1
659,buta,JJ,-1
660,butangan,VB,1
661,butig,NN,-1
662,butig,JJ,-1
663,butones,NN,0
664,butongon,VBG,0
665,butug,NN,-1
666,buut,NN,1
667,buway,NN,1
668,buwaya,NN,0
669,buwelo,NN,1
670,buyod,NN,0
671,buyu,NN,0
672,buyud,NN,0
673,bwelo,NN,1
674,cactus,NN,0
675,camarines,NN,0
676,camarinessur,NNP,0
677,camsur,NNP,0
678,cr,NN,0
679,dadakulu,JJ,1
680,dadara,VB,0
681,dadarawon,VBG,1
682,dadarawun,VBG,1
683,daddakulo,JJR,1
684,dagat,NN,0
685,daguldol,NN,-1
686,daguldul,NN,-1
687,dagus,NN,1
688,dakol,JJ,1
689,dakol,DT,1
690,dakul,JJ,1
691,dakulo,JJ,1
692,dakulo,JJ,1
693,dakulu,JJ,1
694,dalagan,NN,0
695,dalagan,VB,0
696,dalas,NN,0
697,damulag,NN,0
698,damulag,NN,0
699,dana,JJ,-1
700,dapa,WP,-1
701,dara,NN,0
702,darawon,VB,1
703,darwa,CD,0
704,dati,JJ,0
705,dawa,CC,0
706,dawon,NN,0
707,dawon,NN,0
708,dawun,NN,0
709,dayagram,NN,0
710,dayalago,NN,0
711,dayalagu,NN,0
712,dayalogo,NN,0
713,dayday,NN,0
714,deboto,NN,1
715,december,NN,0
716,dedikasyon,NN,1
717,dekorasyon,NN,1
718,delikado,JJ,-1
719,dentista,NNPS,1
720,departamento,NN,0
721,deped,NNP,0
722,depende,JJ,0
723,dependi,JJ,0
724,deretso,JJ,1
725,deri,RBR,-1
726,desisyon,NN,0
727,deskarte,NN,1
728,detalyado,JJ,1
729,detalye,NN,0
730,dilinsya,NN,0
731,dilis,NN,0
732,diman,RB,0
733,dina,JJ,-1
734,dinada,JJ,1
735,dinadara,VB,1
736,dinalagan,VBD,1
737,dinara,VB,1
738,dinaran,VB,1
739,dinidibdib,VB,-1
740,dinnalagan,VBD,0
741,dinoble,VBD,0
742,dinudubli,VB,0
743,dinudugkal,VB,0
744,dinudulsi,VB,0
745,dios,NN,1
746,dipende,JJ,0
747,dipisil,JJ,-1
748,dipisil,JJ,-1
749,dipisilan,VBD,-1
750,direksiyon,NN,0
751,direksiyun,NN,0
752,direksyun,NN,0
753,direkta,JJ,0
754,diri,JJ,-1
755,diritsu,JJ,1
756,disgrasya,NN,-1
757,disiplina,NN,1
758,diskarte,NN,1
759,diskresyon,NN,0
760,dismaya,VB,-1
761,dispinsa,JJ,1
762,distansya,NN,0
763,distrito,NN,0
764,disyembre,NN,0
765,disyerto,NN,0
766,diyalogo,NN,0
767,diyamante,NN,1
768,diyaryo,NN,0
769,diyes,NN,0
770,diyos,NN,1
771,dobleyon,VB,0
772,doktor,NNP,1
773,doktora,NNP,1
774,dokumento,NN,0
775,dolyar,NNPS,0
776,doot,NN,0
777,dosena,NN,0
778,dossientos,NN,0
779,drayb,JJ,0
780,drowing,NN,0
781,druwing,NN,0
782,duag,JJ,0
783,duda,JJ,-1
784,dudubliyun,VBP,0
785,dulot,JJ,0
786,dulsi,NN,0
787,dumakulo,JJR,1
788,dumakulu,JJR,1
789,dumalagan,VB,1
790,dumeretso,VB,1
791,dumisiplina,JJ,1
792,dunong,JJ,1
793,dunung,JJ,1
794,duot,NN,0
795,dupa,NN,0
796,duruduble,VBD,-1
797,duut,NN,0
798,duut,NN,0
799,duyan,NNP,0
800,dyaday,JJ,0
801,dyaket,NN,0
802,dyanitor,NNP,0
803,dyaryo,NN,0
804,dyip,NN,0
805,dyolin,NN,0
806,dyornal,NN,0
807,ebalwasyon,NN,0
808,ebalwasyun,NN,0
809,edad,CD,0
810,eebalwasyon,VBP,0
811,eeksirsays,VBP,1
812,eeskwela,VBP,1
813,egin,NNP,0
814,ekis,NN,-1
815,ekisan,NNS,-1
816,eksakto,NN,1
817,eksam,NN,0
818,eksamin,NN,0
819,eksayted,JJ,1
820,eksersays,NN,1
821,eksperyensya,NNS,1
822,ekspiryensya,NNS,1
823,ekspresyon,NN,0
824,ekspresyun,NN,0
825,elementarya,NN,0
826,elemento,NN,0
827,elepante,NNP,0
828,empleyado,NNP,0
829,enero,NN,0
830,enteran,NN,0
831,enterong,JJS,0
832,epara,VBP,0
833,epektibo,JJ,1
834,epekto,NN,0
835,ereskwelan,NN,0
836,eroplano,NN,0
837,eskpresyon,JJ,0
838,eskuwela,NN,0
839,eskuwelahan,NN,0
840,eskuwelan,NN,0
841,eskwela,NN,0
842,eskwelahan,NN,0
843,eskwelan,NN,0
844,eskwelana,VB,0
845,espada,NN,0
846,espasyo,NN,0
847,espesyal,JJ,1
848,estudyante,NN,0
849,estudyante,NN,0
850,gabi,NN,0
851,gagamiton,VB,0
852,gagamitun,VB,0
853,gaganapon,VB,0
854,gagatikut,VB,-1
855,gagayon,VB,1
856,gakos,VB,1
857,gakus,VB,1
858,galang,VB,1
859,galen,VB,0
860,galin,VB,0
861,galinan,VBD,-1
862,galon,NN,0
863,galun,NN,0
864,gamit,NN,0
865,gamit,NN,1
866,gamita,VB,0
867,gamitan,VBN,0
868,gamiton,VB,1
869,gamitun,VB,1
870,gamot,NN,0
871,gana,JJ,1
872,ganap,JJ,0
873,ganso,NN,0
874,gansu,NN,0
875,ganting,VB,1
876,gapas,NN,0
877,garagatikut,VB,0
878,garahe,NN,0
879,garapa,NN,0
880,garapon,NN,0
881,garapun,NN,0
882,gasgas,JJ,-1
883,gasi,JJ,-1
884,gastos,NN,-1
885,gatas,NN,0
886,gatikot,JJ,-1
887,gatikut,JJ,-1
888,gatingay,JJ,-1
889,gawi,NN,0
890,gayo,NN,0
891,gayod,NN,0
892,gayon,JJ,1
893,gayon,JJ,1
894,gayu,NN,0
895,gayud,NN,0
896,gayun,JJ,1
897,gibon,VB,1
898,gibowon,VB,1
899,gibu,JJ,0
900,gibuhon,VBP,1
901,gibuhun,VBP,1
902,gibuwan,VP,1
903,gibuwun,VBP,1
904,gigibowon,VBP,1
905,gigibu,VBP,1
906,gigibuhon,VBP,1
907,gigibuwan,VBZ,1
908,gigibuwon,VBP,1
909,gigibuwun,VBP,1
910,gigisung,VBP,1
911,gilid,NN,0
912,gimik,NN,0
913,gina,NN,0
914,ginagayunan,JJ,1
915,ginakos,JJ,1
916,ginamit,VBD,1
917,ginamitan,VBD,0
918,ginatikot,NN,-1
919,ginatus,VBD,1
920,ginibo,VBD,1
921,ginibu,VBD,1
922,ginibuwan,VBD,1
923,ginigibo,VBG,1
924,ginigibu,VBG,1
925,ginigibung,VBG,1
926,ginisa,VBD,1
927,ginugulay,VBG,1
928,ginunting,VBD,0
929,ginutos,VBD,0
930,giraan,NN,-1
931,giranon,VB,-1
932,giruun,VB,1
933,gisung,VB,0
934,gisungon,VBG,0
935,gitara,NN,0
936,giya,NN,1
937,giyahan,VB,1
938,giyapon,NN,0
939,giyapun,NN,0
940,globo,NN,0
941,gobernador,NNPS,0
942,gobyerno,NN,0
943,gorang,JJ,0
944,gosok,VB,0
945,guno,VB,1
946,guramoy,NN,0
947,guran,VB,0
948,gustu,NN,1
949,gutus,NN,0
950,guwapito,JJ,1
951,guyabano,NN,0
952,guyod,NN,0
953,guyud,NN,0
954,hadi,NN,0
955,halimbawa,NN,0
956,halos,JJ,0
957,hanapbuway,NN,1
958,handa,JJ,1
959,handaan,NN,1
960,hanggang,NN,0
961,harapon,VB,1
962,heneral,NNP,0
963,higante,JJ,0
964,higit,JJ,1
965,hilig,NN,1
966,hinahanda,VB,1
967,hinahangaan,NN,1
968,hinandaan,VBG,1
969,iapon,VB,-1
970,ibusol,VB,1
971,igin,NN,1
972,iinom,VB,0
973,iinsayo,VB,0
974,iintindi,VB,1
975,iinubus,VB,-1
976,iinum,VB,0
977,iirakon,JJ,1
978,iiristoryan,VB,0
979,iirungog,VB,0
980,iirungug,VB,0
981,iisip,VB,0
982,iisipon,VB,1
983,iisiyan,VB,0
984,iiskwela,VB,1
985,iiskwila,VB,1
986,iisnak,VB,1
987,iistar,VB,0
988,iistorya,VB,0
989,iistoryan,VB,0
990,iisturya,VB,0
991,iisturyan,VB,0
992,iisug,VBG,-1
993,iiwag,VBG,0
994,iiyan,VBG,0
995,iiyanan,VB,0
996,ika,WP,0
997,ikabit,VB,0
998,ikabubuway,VB,1
999,ikaguguraan,VB,-1
1000,ikalawang,CD,0
1001,ikalimang,CD,0
1002,ikapitong,CD,0
1003,ikaragdagang,VB,0
1004,ikarwa,CD,0
1005,ikarwang,CD,0
1006,ikatlong,CD,0
1007,ikatlu,CD,0
1008,ikatulu,CD,0
1009,ikaw,WP,0
1010,ikawon,VB,0
1011,ikawun,VB,0
1012,ikayan,VB,0
1013,ikid,NN,0
1014,ikimbut,NN,1
1015,ikinabit,VBN,1
1016,ikinabubuway,VB,1
1017,ikinakabit,VBG,0
1018,ikinakasal,VBG,1
1019,ikinawit,VBN,1
1020,ikinukumpara,VBG,-1
1021,ikinumpara,VBN,-1
1022,ikis,NN,-1
1023,ikog,NN,0
1024,ikog,NN,0
1025,ikonek,VBG,1
1026,ikot,VB,0
1027,iksperyensyahan,NN,1
1028,ikug,NN,0
1029,ikuku,VB,1
1030,ikumpara,VB,-1
1031,ikumparar,VB,-1
1032,ikunek,VBG,0
1033,ikuniktar,VBG,0
1034,iladawan,VB,0
1035,ilain,VB,0
1036,ilalaman,VBG,0
1037,ilalarawan,VBG,1
1038,ilang,NN,-1
1039,ilangan,NN,-1
1040,ilangun,NN,-1
1041,ilarawan,VBN,1
1042,ilaw,NN,0
1043,ilimbag,VB,1
1044,ilinayug,VBN,0
1045,ilinulubung,VBG,-1
1046,ilinuluwas,VBG,0
1047,ilinuog,VBD,1
1048,ilista,VB,0
1049,illustrasyon,NN,0
1050,ilobong,VB,-1
1051,ilog,NN,0
1052,ilu,NN,0
1053,ilubong,VB,-1
1054,ilulubong,VB,-1
1055,iluog,VB,0
1056,ilustrasyon,VB,0
1057,iluug,VB,0
1058,iluw,JJ,-1
1059,imahe,NN,0
1060,imahi,NN,0
1061,imahinasyon,NN,0
1062,imbes,NN,0
1063,imbitado,VB,1
1064,imbitar,NN,0
1065,imbitaran,VB,0
1066,imbitasyon,NN,0
1067,iminamanda,VBG,0
1068,iminanda,VBD,0
1069,impeksiyon,VB,-1
1070,impis,NN,0
1071,impormasyon,NN,0
1072,impormasyong,NNS,0
1073,importansiya,NN,0
1074,importansya,NN,0
1075,importante,NN,1
1076,importanteng,NNS,1
1077,importanting,NNS,1
1078,importasyon,NN,0
1079,imposebleng,NNS,-1
1080,imposibli,NN,-1
1081,imprinta,VB,0
1082,ina,NNPS,0
1083,inaabunuwan,VBG,1
1084,inaalalayan,VBG,0
1085,inaalinan,VBG,-1
1086,inaambon,VBG,-1
1087,inaanap,VBG,0
1088,inaandal,VBG,-1
1089,inaangkin,VBG,-1
1090,inaarukan,VBG,1
1091,inaasahan,VBG,0
1092,inaasan,VBG,0
1093,inaasikaso,VBG,1
1094,inaataman,VBG,1
1095,inaawanan,VBG,1
1096,inaayat,VBG,0
1097,inabot,VBD,0
1098,inabut,VBD,0
1099,inadal,VBD,1
1100,inadaptar,NN,0
1101,inagda,VBD,0
1102,inagnuw,VBD,-1
1103,inalinan,VBD,-1
1104,inalok,VBD,1
1105,inaluk,VBD,1
1106,inanap,VBD,0
1107,inandal,VBD,-1
1108,inang,NNPS,0
1109,inani,VBD,1
1110,inanyugon,VB,1
1111,inapag,VBD,1
1112,inapon,VBD,-1
1113,inasikasu,VBD,1
1114,inataman,VBD,1
1115,inatubang,VBD,0
1116,inawa,VB,0
1117,inawan,VBD,1
1118,inay,NNP,0
1119,inay,NN,1
1120,inda,VB,-1
1121,india,NNP,0
1122,indiyan,NN,0
1123,indonesia,NNP,0
1124,ine,WRB,0
1125,ingalo,NN,1
1126,ingalu,NN,1
1127,ingat,VB,1
1128,ingatan,VB,1
1129,ingganyar,VB,1
1130,ingganyo,NN,1
1131,ingoto,VB,1
1132,inguko,VB,0
1133,iniba,VB,1
1134,inibanan,VBD,1
1135,inihahanda,VBG,0
1136,inihanda,VBD,1
1137,iniiba,VBG,1
1138,iniimbitaran,VBG,1
1139,iniimo,VBG,1
1140,iniinom,VBG,0
1141,iniirungog,VBG,1
1142,iniisip,VBG,0
1143,iniistorya,VBG,0
1144,iniksyun,NN,0
1145,iniksyunan,VB,0
1146,inilalathala,VBG,0
1147,inilampasu,VBD,-1
1148,inilatha,VBD,0
1149,inilustrar,VBD,0
1150,inimbentong,VBD,0
1151,inimbitaran,VBD,1
1152,ining,NN,0
1153,iningaran,VBN,0
